Produkt,Datum,prognose,lo80,hi80,lo95,hi95
Schweinekotelett oder Schweineschnitzel,2026-06-01,145.04033220675447,122.46838408171828,177.084635430915,113.04053691563114,200.1101367363606
Senf,2025-07-01,138.77870652810248,111.96070965194093,181.14453496910355,101.42430722720174,215.14752557889827
Senf,2025-08-01,138.78366831897188,110.78676928219983,184.16614561373396,99.94078381639234,221.62943664011598
Senf,2025-09-01,138.7874079995032,109.68199121690878,187.15358055070803,98.55568664527765,228.20132222356804
Senf,2025-10-01,138.79022687039156,108.63924200108848,190.11144627661952,97.2580178893494,234.8736599996182
Senf,2025-11-01,138.79235151517875,107.65227938707883,193.04414611902695,96.03829869870604,241.6574893058112
Senf,2025-12-01,138.79395293740853,106.7156450811233,195.95583432614268,94.88834865646399,248.5642984061588
Senf,2026-01-01,138.7951599639783,105.82456313440193,198.850396389423,93.80109185893389,255.60596474221464
Senf,2026-02-01,138.79606972761155,104.97484876818169,201.73144671743734,92.77039085018453,262.7947331411597
Senf,2026-03-01,138.79675543273845,104.16282771982365,204.6023369254872,91.79090529938289,270.1432222222172
Senf,2026-04-01,138.79727226036317,103.38526606337736,207.4661704885311,90.85797265170825,277.66445184715104
Senf,2026-05-01,138.79766180105955,102.63930960518356,210.32582078444895,89.96750760997193,285.37188669883096
Senf,2026-06-01,138.79795540335567,101.92243186167063,213.18395061557527,89.115917629885,293.27949262699235
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",2025-07-01,109.30000000000011,100.84670000404408,118.60445992549057,96.68565790125783,123.90827036177336
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",2025-08-01,109.30000000000011,100.54305353294754,118.97366199367042,96.2442572509762,124.50349828406051
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",2025-09-01,109.30000000000011,100.25109603255517,119.3311867804203,95.82061681487573,125.0810301427941
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",2025-10-01,109.30000000000011,99.96967233655432,119.67818945401329,95.41297451907917,125.64262803702188
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",2025-11-01,109.30000000000011,99.6978054501485,120.01564701120674,95.01984033655644,126.18978201895445
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",2025-12-01,109.30000000000011,99.43466031092458,120.3443945163749,94.6399409305958,126.72376545049464
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",2026-01-01,109.30000000000011,99.17951650829085,120.66515238207104,94.27217798607059,127.24567667197002
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",2026-02-01,109.30000000000011,98.93174739495765,120.97854725754655,93.91559630650482,127.75647090506796
