Produkt,n,mean_mom,median_mom,sd_mom,min_mom,max_mom,start_preis,end_preis,preisanstieg_pct,Kategorie
Tiefgefrorene Meeresfrüchte,66,-0.6442778894848422,0,5.849835518466017,-47.11992445703495,2.4582104228122015,101.3,56,-44.71865745310958,Fisch & Meeresfrüchte
Tiefgefrorenes Fischfilet,66,-0.48534097214179106,0.2088520145706374,7.301153118681007,-58.07453416149069,4.6242774566473965,99.8,54,-45.89178356713427,Fisch & Meeresfrüchte
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",60,-0.5250786580191037,0.4967471511359789,7.844996775552089,-59.90922844175491,3.0276816608996615,99.8,53,-46.893787575150306,Fisch & Meeresfrüchte
Zubereitetes Hackfleisch,66,-0.3685816604785819,0.4701614697445011,8.294131352113364,-65.25364836692147,9.982174688057045,96.6,50,-48.24016563146998,Fleisch & Wurst
Gyros oder andere fertige Fleischpfanne,66,-0.46496786158498454,0.3152096088010259,7.875229651289737,-62.394474290099765,8.555657773689052,95.6,49,-48.74476987447699,Fleisch & Wurst
"Fischfilet, frisch oder gekühlt",66,-0.5001650494476272,0.22178557981927804,7.777245307524281,-61.654135338345874,5.008944543828275,100.6,51,-49.30417495029821,Fisch & Meeresfrüchte
"Kabeljau oder Lachs, frisch oder gekühlt",60,-0.6277861197442629,0.12832606217819675,7.800956171364952,-58.730158730158735,5.696202531645578,102.9,52,-49.465500485908656,Fisch & Meeresfrüchte
"Fleischfertiggericht ohne Beilage, konserviert",66,-0.5559026343339664,0.291404212600066,7.782053643561626,-62.47068021892104,3.4354688950789303,99.1,48,-51.564076690211905,Fleisch & Wurst
Gekochter Schinken oder anderes gegartes Fleisch,66,-0.6232356679031564,0.17400320910658795,7.490429051483198,-59.72579263067694,6.923837784371911,97.4,47,-51.74537987679672,Fleisch & Wurst
"Tiefgefrorenes, tafelfertig zubereitetes Fleisch",66,-0.3546820154388155,0.4941406249999946,8.942189179910324,-71.08736643620364,7.301293900184835,99.5,46,-53.768844221105525,Fleisch & Wurst
Wurstkonserve,66,-0.4610406932212545,0.2960040187620083,8.55993556420719,-68.32253419726422,4.3933054393305415,95.6,44,-53.97489539748954,Fleisch & Wurst
Feinkostsalat auf Fleischbasis,66,-0.4742905844994334,0.4543189129297631,8.530114375508745,-67.99431009957327,5.2991452991453025,98,45,-54.08163265306123,Fleisch & Wurst
Leberwurst oder Blutwurst,60,-0.6436002556693105,0.2932551319648091,8.641079926582133,-65.5724579663731,5.899419729206956,96,43,-55.20833333333333,Fleisch & Wurst
Wurstaufschnitt,66,-0.6424590771676084,0.0819051067482035,8.218203860424643,-65.05823627287855,8.260447035957231,96.7,42,-56.566701137538786,Fleisch & Wurst
Bratwurst,66,-0.5735239346450999,0.1921683549853448,8.548965366621433,-68.16770186335404,7.037037037037042,95.7,41,-57.15778474399165,Fleisch & Wurst
Fleischwurst,60,-0.7146011541384795,0.12811515802160223,9.091078660359544,-68.37944664031622,12.5,99.1,40,-59.636730575176585,Fleisch & Wurst
"Roher Schinken, Schinkenspeck oder Bauchspeck",60,-0.7317239127275617,0.2224492028733538,8.93786827309636,-68.31844029244516,6.054687499999978,96.8,39,-59.71074380165289,Fleisch & Wurst
"Salami, Zervelatwurst oder andere Dauerwurst",66,-0.7029895545736718,0.13354714281166302,8.566029152651113,-68.5430463576159,4.672897196261672,97.3,38,-60.94552929085303,Fleisch & Wurst
Leber oder andere Innereien,66,-0.738409137321149,0.3532164981864039,8.676202942861494,-69.84515077424614,2.0852221214868516,99.6,37,-62.85140562248996,Fleisch & Wurst
Kaninchenfleisch oder anderes Wildfleisch,66,-0.7110594956149423,0.29419936910578537,8.900881783559107,-71.47385103011094,2.8971962616822333,99.1,36,-63.673057517658926,Fleisch & Wurst
Tiefgefrorenes Geflügelfleisch,66,-0.472131696583239,0.3256070897551977,9.85719819686926,-77.80596068484465,14.10018552875696,100.2,35,-65.06986027944112,Fleisch & Wurst
Frisches Geflügelfleisch,66,-0.6112586494037762,0.21881942848386293,9.591874276347678,-76.09001406469761,9.6774193548387,100.5,34,-66.16915422885572,Fleisch & Wurst
Schweinekotelett oder Schweineschnitzel,60,-0.7520568130400307,0.15980886782790416,9.943228867912126,-75.11664074650078,11.636707663197733,96.3,32,-66.7705088265836,Fleisch & Wurst
Lammfleisch,66,-0.741802802182605,0.14910654880714302,9.269661626943288,-74.31906614785993,4.8979591836734615,100.2,33,-67.06586826347305,Fleisch & Wurst
Schweinebraten,66,-0.7136822160570194,0.4028213722497509,9.514367545854112,-75.95034910783554,8.045977011494255,97.3,31,-68.13977389516957,Fleisch & Wurst
"Schweinehackfleisch, auch gemischt",66,-0.5136759840107924,0.5030380288367109,10.245511650102433,-80.46875,14.010507880910671,98.1,30,-69.4189602446483,Fleisch & Wurst
Kasseler oder anderes Schweinefleisch,60,-0.8639816385667045,0.19962068086191165,10.06244806455887,-76.57512116316639,8.26210826210827,97.4,29,-70.22587268993841,Fleisch & Wurst
Kalbfleisch,66,-0.8482572916849243,0.38309728349199546,9.605943303986034,-77.21724979658259,2.8828828828828756,99.8,28,-71.94388777555109,Fleisch & Wurst
Rinderhackfleisch,66,-0.4186490776928384,0.6784188314930328,10.68171420938765,-83.9667458432304,13.844870725604675,97.6,27,-72.3360655737705,Fleisch & Wurst
Rindfleisch zum Schmoren oder Braten,66,-0.6777428012304083,0.3660888279216623,10.23527992199188,-81.79271708683473,7.364685004436544,99.3,26,-73.81671701913393,Fleisch & Wurst
Rinderroulade oder Rinderlende,66,-0.7288609340992424,0.3987299125305155,10.342720069869957,-82.14285714285714,4.950495049504955,100.8,25,-75.1984126984127,Fleisch & Wurst
